iter	RMSE
0	60960.79054
1	58713.70239
2	56787.9173
3	54727.12081
4	52763.32452
5	51029.05765
6	49367.77569
7	47746.33405
8	46226.52009
9	44922.8285
10	43607.71181
11	42288.76446
12	41122.53282
13	39990.81782
14	38870.53809
15	37831.43832
16	36841.56796
17	35925.02531
18	35009.21325
19	34196.78379
20	33396.42264
21	32654.67101
22	31943.93994
23	31270.35143
24	30602.45902
25	29990.95956
26	29440.94268
27	28845.10469
28	28359.19478
29	27860.38637
30	27393.77212
31	26981.44913
32	26495.36631
33	26077.92233
34	25625.89968
35	25195.69005
36	24839.48802
37	24578.23936
38	24269.16949
39	23919.53786
40	23623.6721
41	23304.13946
42	23050.71652
43	22784.75062
44	22488.60882
45	22209.88957
46	22153.30105
47	21939.53198
48	21885.44309
49	21682.26153
50	21445.52591
51	21397.2865
52	21193.51634
53	21148.21549
54	20933.81469
55	20725.38287
56	20679.68325
57	20639.57278
58	20529.11975
59	20490.4866
60	20453.21918
61	20415.0288
62	20219.41068
63	20182.15621
64	20133.12256
65	20101.53349
66	20070.10548
67	19899.15993
68	19786.30471
69	19746.84422
70	19707.35407
71	19680.03255
72	19654.80626
73	19538.74382
74	19514.60339
75	19377.37506
76	19219.86154
77	19165.87695
78	19141.99697
79	19008.75884
80	18988.75188
81	18889.18647
82	18870.58686
83	18852.80967
84	18740.52184
85	18568.79444
86	18441.40641
87	18305.68101
88	18288.9082
89	18266.82566
90	18250.66621
91	18235.75449
92	18221.00942
93	18112.32996
94	17991.77257
95	17831.75705
96	17819.76896
97	17715.5747
98	17702.65059
99	17690.17479
100	17680.12109
101	17668.43791
102	17516.26484
103	17415.14826
104	17308.926
105	17298.75792
106	17219.86784
107	17069.4089
108	16992.03644
109	16852.14876
110	16785.56143
111	16650.39913
112	16639.09046
113	16522.83378
114	16375.23421
115	16369.99741
116	16362.0092
117	16357.08003
118	16286.0775
119	16152.19486
120	16022.96626
121	15909.88805
122	15798.07331
123	15793.19756
124	15733.46073
125	15637.37431
126	15562.40389
127	15509.41481
128	15443.89159
129	15362.98593
130	15266.79154
131	15192.59754
132	15110.1253
133	15001.14403
134	14929.39349
135	14847.01799
136	14791.60219
137	14712.46917
138	14620.10681
139	14509.24452
140	14464.92116
141	14419.70474
142	14379.59837
143	14319.00174
144	14279.64171
145	14197.76211
146	14127.20337
