iter	Passed	Remaining
0	90	90428
1	192	96227
2	283	94331
3	379	94515
4	474	94341
5	574	95185
6	664	94280
7	759	94210
8	849	93516
9	946	93727
10	1093	98283
11	1181	97294
12	1288	97813
13	1406	99033
14	1515	99509
15	1602	98551
16	1693	97926
17	1795	97970
18	1891	97680
19	2004	98215
20	2099	97889
21	2192	97445
22	2282	96973
23	2381	96845
24	2469	96326
25	2571	96331
26	2665	96048
27	2754	95608
28	2847	95336
29	2932	94822
30	3029	94699
31	3142	95069
32	3235	94812
33	3323	94414
34	3413	94123
35	3536	94702
36	3626	94379
37	3724	94284
38	3810	93895
39	3908	93815
40	4005	93690
41	4130	94211
42	4222	93977
43	4332	94133
44	4420	93822
45	4520	93743
46	4626	93814
47	4727	93771
48	4808	93321
49	4895	93010
50	4986	92793
51	5054	92149
52	5159	92183
53	5221	91475
54	5314	91312
55	5409	91188
56	5458	90303
57	5530	89823
58	5634	89869
59	5771	90412
60	5880	90518
61	5976	90413
62	6069	90277
63	6169	90231
64	6255	89983
65	6317	89405
66	6385	88913
67	6498	89067
68	6646	89677
69	6763	89856
70	6842	89532
71	6895	88874
72	6991	88785
73	7090	88733
74	7178	88528
75	7277	88479
76	7394	88634
77	7492	88563
78	7597	88572
79	7693	88480
80	7745	87882
81	7848	87870
82	7928	87590
83	8003	87280
84	8093	87120
85	8207	87225
86	8304	87145
87	8410	87163
88	8503	87043
89	8581	86767
90	8647	86380
91	8722	86087
92	8786	85696
93	8884	85626
94	9006	85802
95	9096	85656
96	9180	85462
97	9272	85347
98	9335	84958
99	9397	84578
100	9441	84039
101	9536	83955
102	9645	83998
103	9738	83904
104	9835	83834
105	9920	83672
106	10024	83659
107	10116	83550
108	10212	83480
109	10303	83366
110	10402	83310
111	10527	83471
112	10576	83020
113	10672	82944
114	10780	82959
115	10836	82579
116	10987	82919
117	11143	83292
118	11284	83546
119	11449	83960
120	11578	84108
121	11704	84232
122	11845	84457
123	11935	84320
124	12056	84395
125	12194	84585
126	12297	84530
127	12420	84613
128	12539	84665
129	12640	84593
130	12750	84580
131	12862	84582
132	12960	84484
133	13061	84413
134	13160	84322
135	13261	84249
136	13370	84223
137	13477	84183
138	13600	84242
139	13692	84110
140	13792	84025
141	13897	83970
142	14005	83935
143	14109	83876
144	14216	83830
145	14306	83685
146	14405	83590
147	14514	83557
148	14627	83545
149	14719	83411
150	14813	83288
151	14908	83175
152	15011	83103
153	15135	83147
154	15248	83130
155	15357	83090
156	15460	83011
157	15563	82939
158	15653	82797
159	15765	82769
160	15841	82552
161	15929	82402
162	16041	82371
163	16160	82377
164	16254	82255
165	16368	82236
166	16458	82097
167	16545	81941
168	16636	81805
169	16773	81895
170	16890	81885
171	16980	81741
172	17089	81692
173	17181	81562
174	17273	81432
175	17367	81312
176	17476	81260
177	17585	81210
178	17685	81114
179	17800	81090
180	17912	81052
181	18013	80963
182	18138	80978
183	18229	80845
184	18320	80707
185	18433	80669
186	18565	80713
187	18653	80566
188	18742	80424
189	18831	80280
190	18935	80202
191	19036	80113
192	19126	79975
193	19221	79857
194	19349	79877
195	19474	79884
196	19561	79733
197	19666	79659
198	19772	79588
199	19863	79453
200	19990	79465
201	20093	79377
202	20189	79266
203	20289	79170
204	20389	79073
205	20492	78986
206	20628	79024
207	20742	78982
208	20840	78873
209	20960	78851
210	21056	78735
211	21179	78725
212	21289	78661
213	21396	78588
214	21528	78604
215	21632	78519
216	21729	78407
217	21820	78274
218	21920	78173
219	22008	78030
220	22113	77948
221	22251	77981
222	22366	77930
223	22464	77823
224	22567	77734
225	22713	77790
226	22821	77713
227	22927	77630
228	23024	77519
229	23117	77392
230	23218	77295
231	23326	77220
232	23430	77128
233	23540	77059
234	23660	77023
235	23756	76906
236	23847	76775
